Time,PTSI,VSI,VCPI,Frequency,df/dt,Voltage
1.32,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.33,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.34,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.35,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.36,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.37,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.38,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.39,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.4,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.41,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.42,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.43,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.44,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.45,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.46,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.47,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.48,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.49,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.5,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.51,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.52,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.53,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.54,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.55,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.56,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.57,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.58,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.59,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.6,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.61,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.62,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.63,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.64,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.65,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.66,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.67,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.68,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.69,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.7,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.71,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.72,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.73,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.74,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.75,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.76,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.77,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.78,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.79,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.8,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.81,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.82,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.83,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.84,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.85,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.86,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.87,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.88,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.89,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.9,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.91,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.92,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.93,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.94,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.95,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.96,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.97,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.98,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
1.99,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.01,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.02,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.03,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.04,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.05,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.06,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.07,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.08,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.09,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.1,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.11,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.12,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.13,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.14,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.15,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.16,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.17,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.18,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.19,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.2,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.21,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.22,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.23,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.24,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.25,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.26,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.27,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.28,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.29,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.3,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.31,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.32,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.33,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.34,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.35,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.36,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.37,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.38,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.39,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.4,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
